clk    enable    N    out    time
0    0          00    0       0
0    0          00    0   10000
0    1          00    0   20000
0    1          00    0   30000
0    1          00    0   40000
0    1          00    0   50000
0    1          02    0   60000
0    1          02    1   70000
0    1          02    0   80000
0    1          02    1   90000
0    1          02    0   100000
0    1          02    1   110000
0    1          02    0   120000
0    1          04    1   130000
0    1          04    0   140000
0    1          04    1   150000
0    1          04    1   160000
0    1          04    0   170000
0    1          04    0   180000
0    1          04    1   190000
0    1          04    1   200000
0    1          04    0   210000
0    1          04    0   220000
0    1          04    1   230000
0    1          04    1   240000
0    1          04    0   250000
0    0          04    0   260000
0    0          04    0   270000
0    0          04    0   280000
0    0          04    0   290000
0    0          04    0   300000
0    0          04    0   310000
0    0          04    0   320000
0    0          04    0   330000
0    0          04    0   340000
0    1          06    1   350000
0    1          06    1   360000
0    1          06    0   370000
0    1          06    0   380000
0    1          06    1   390000
0    1          06    1   400000
0    1          06    1   410000
0    1          06    0   420000
0    1          06    0   430000
0    1          06    0   440000
0    1          06    1   450000
0    1          06    1   460000
0    1          06    1   470000
0    1          06    0   480000
0    1          06    0   490000
0    1          06    0   500000
0    1          06    1   510000
0    1          06    1   520000
0    1          06    1   530000
0    1          06    0   540000
0    1          06    0   550000
0    1          06    0   560000
0    1          06    0   570000
0    1          06    0   580000
0    1          06    1   590000
0    1          06    1   600000
0    1          06    1   610000
0    1          06    0   620000
0    1          06    0   630000
0    1          06    0   640000
0    1          06    1   650000
0    1          06    1   660000
0    1          06    1   670000
0    1          06    0   680000
0    1          06    0   690000
0    1          06    0   700000
0    1          06    1   710000
0    1          06    1   720000
0    1          06    1   730000
0    1          06    0   740000
0    1          06    0   750000
0    1          06    0   760000
0    1          06    1   770000
0    1          06    1   780000
0    1          06    1   790000
0    1          06    0   800000
